name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"FLOPS"
"BM_NerdMatmult/16",413052,1653.2,1650.57,ns,,,,,,4.96313e+09
"BM_NerdMatmult/32",205403,2957.16,2901.63,ns,,,,,,2.2586e+10
"BM_NerdMatmult/64",52327,13952.4,13938.3,ns,,,,,,3.76149e+10
"BM_NerdMatmult/128",7736,98865.6,98700.2,ns,,,,,,4.24954e+10
"BM_NerdMatmult/256",865,723772,723074,ns,,,,,,4.64052e+10
"BM_NerdMatmult/512",118,5.70703e+06,5.69347e+06,ns,,,,,,4.7148e+10
"BM_NerdMatmult/1024",16,4.45345e+07,4.33612e+07,ns,,,,,,4.95254e+10
