name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message,"FLOPS"
"BM_NerdMatmult/16",448233,1569.97,1564.94,ns,,,,,,5.23471e+09
"BM_NerdMatmult/32",248779,2863.55,2857.44,ns,,,,,,2.29352e+10
"BM_NerdMatmult/64",54492,12986.1,12958.1,ns,,,,,,4.04603e+10
"BM_NerdMatmult/128",8370,92422.1,91545.1,ns,,,,,,4.58168e+10
"BM_NerdMatmult/256",1103,646811,642611,ns,,,,,,5.22158e+10
"BM_NerdMatmult/512",139,5.05686e+06,4.98317e+06,ns,,,,,,5.38684e+10
"BM_NerdMatmult/1024",18,4.08755e+07,4.05447e+07,ns,,,,,,5.29659e+10
"BM_NerdMatmult/2048",2,3.27391e+08,3.26407e+08,ns,,,,,,5.26333e+10
